date,furniture_sales,food_sales,used_car_sales,pharmacy_sales
9/1/06,9511,358961,6204,15483
10/1/06,9178,358462,6146,16382
11/1/06,10195,359266,5634,16252
12/1/06,11051,363730,5473,18055
1/1/07,8802,363616,6089,16985
2/1/07,8423,364006,6625,15822
3/1/07,9415,367158,7276,17258
4/1/07,8553,366187,6734,16532
5/1/07,9266,370934,7186,17279
6/1/07,9171,368154,6850,16497
7/1/07,9194,369614,6781,16542
8/1/07,9867,371358,7310,16992
9/1/07,8885,372869,6591,15966
10/1/07,9069,375289,6583,17264
11/1/07,10012,378860,5957,16713
12/1/07,10487,374298,5714,18434
1/1/08,8163,375236,6544,17449
2/1/08,8104,371833,7182,17201
3/1/08,8381,372745,7291,17719
4/1/08,8029,372572,6940,17143
5/1/08,8604,376036,6683,17871
6/1/08,8117,376455,6653,17038
7/1/08,8495,375038,6286,17413
8/1/08,8456,372284,6226,17200
9/1/08,7676,366729,5662,17176
10/1/08,7712,352950,5432,18019
11/1/08,8121,339350,4452,16975
12/1/08,8862,332091,4561,19653
1/1/09,6796,336929,5544,17741
2/1/09,6593,335576,6088,17028
3/1/09,6907,329747,6017,18501
4/1/09,6608,331352,5652,18226
5/1/09,6974,334256,5442,18146
6/1/09,6922,339883,5654,17944
7/1/09,7194,340517,5477,17957
8/1/09,7159,346668,5748,17604
9/1/09,6967,338507,5195,17770
10/1/09,6853,341654,5199,18492
11/1/09,7375,344375,4654,17784
12/1/09,8401,346072,4761,20067
1/1/10,6324,346174,5127,17874
2/1/10,6468,346795,6300,17171
3/1/10,7271,354607,6580,19214
4/1/10,6729,357268,5957,18340
5/1/10,6932,354018,5857,18295
6/1/10,6902,354127,6195,18372
7/1/10,7243,354587,6183,18170
8/1/10,7330,356718,6288,18328
9/1/10,7101,359298,5971,18124
10/1/10,6793,363515,6123,18611
11/1/10,7630,367351,5604,18724
12/1/10,8482,369260,5522,21007
1/1/11,6244,371744,5976,19155
2/1/11,6488,375058,7295,18117
3/1/11,7530,378449,7661,20042
4/1/11,6896,380789,6446,18944
5/1/11,7086,380302,6260,19505
6/1/11,7039,383199,6460,19081
7/1/11,7241,382792,6348,18541
8/1/11,7685,383929,6438,19481
9/1/11,7450,387714,5951,18845
10/1/11,6967,389938,5710,19302
11/1/11,7931,391587,5530,19103
12/1/11,9029,391854,5642,21133
1/1/12,6866,395366,5889,19401
2/1/12,7169,400182,7728,19056
3/1/12,7784,401799,7757,19943
4/1/12,6872,399923,6811,19050
5/1/12,7683,399347,6667,19701
6/1/12,7378,396145,6658,18426
7/1/12,7551,397474,6411,18559
8/1/12,8064,402153,7237,19168
9/1/12,7439,405378,6383,17847
10/1/12,7260,405898,6450,19468
11/1/12,8260,407636,6167,18700
12/1/12,9216,408806,6070,20632
1/1/13,7297,412271,6766,19826
2/1/13,7089,416974,8397,18221
3/1/13,7875,414091,8250,19625
4/1/13,7314,412353,7411,19168
5/1/13,7834,414215,7190,19806
6/1/13,7558,415691,6970,18547
7/1/13,7977,418505,6963,19470
8/1/13,8461,417542,7269,19562
9/1/13,7848,417422,6243,19217
10/1/13,8059,419541,6682,20478
11/1/13,8842,420732,6183,19554
12/1/13,9195,422962,5592,22074
1/1/14,7201,418788,6065,20634
2/1/14,7227,424443,8022,19140
3/1/14,8104,428973,8564,20488
4/1/14,7791,433678,7601,20621
5/1/14,8384,434400,7695,21069
6/1/14,7881,435682,7542,20421
7/1/14,8403,436286,7657,20910
8/1/14,8734,439735,7936,20631
9/1/14,8371,438784,7584,20699
10/1/14,8441,440285,7933,21676
11/1/14,8950,441132,6822,20211
12/1/14,10231,438575,7003,24046
1/1/15,7964,435857,7435,21713
2/1/15,7514,434296,9092,20085
3/1/15,8616,441665,9331,22366
4/1/15,8261,442078,8969,21551
5/1/15,8893,446226,8544,21461
6/1/15,8576,447270,8337,21489
7/1/15,9110,450256,8377,21774
8/1/15,9148,450167,8353,21533
9/1/15,8967,448739,7689,22018
10/1/15,9108,448090,7911,22625
11/1/15,9488,449452,7193,21642
12/1/15,10925,451078,7099,25212
1/1/16,8188,447973,7659,22141
2/1/16,8395,451101,10312,22365
3/1/16,9281,451018,10012,23514
4/1/16,8629,453537,9171,22609
5/1/16,9036,455733,8573,23043
6/1/16,9157,460013,8988,22646
7/1/16,9235,459901,8834,22109
8/1/16,9639,460076,9381,22940
9/1/16,9621,462283,8498,22167
10/1/16,9160,464228,8861,22059
11/1/16,10089,464153,7907,21824
12/1/16,11038,467928,8494,24464
